fid18,fid16,fid14,fid12
120087,120087,120087,120087
120088,120088,120088,120088
120089,120089,120089,120089
120090,120090,120090,120090
120091,120091,120091,120091
120092,120092,120092,120092
120093,120093,120093,120093
120094,120094,120094,120094
120095,120095,120095,120095
120096,120096,120096,120096
120097,120097,120097,120097
120100,120100,120100,120100
120101,120101,120101,120101
120102,120102,120102,120102
120103,120103,120103,120103
120104,120104,120104,120104
120108,120108,120108,120108
120109,120109,120109,120109
120110,120110,120110,120110
120111,120111,120111,120111
120112,120112,120112,130502
120113,120113,120113,120113
120114,120114,120114,120114
120125,120125,120125,120125
120126,120126,120126,120126
120129,120129,120129,120129
120131,120131,120131,120131
120162,120162,211554,211554
120269,120269,120269,130645
120448,120448,120448,130833
120569,120569,220067,220067
120721,120721,120721,140141
120795,120795,220344,220344
120977,120977,120977,140394
121095,121095,230249,230249
121265,121265,230463,230463
122061,122061,310587,310587
122225,122225,122225,210898
122426,122426,122426,122426
122825,122825,122825,211513
123187,123187,312506,312506
123318,123318,320113,320113
123392,123392,320219,320219
123713,123713,123713,230037
123731,123731,330295,330295
123755,123755,330331,330331
123758,123758,330340,330340
123804,123804,123804,230131
123844,123844,123844,230170
124034,124034,340314,340314
124079,124079,124079,230411
124166,124166,350093,350093
124347,124347,124347,124347
124495,124495,360290,360290
124775,124775,370258,370258
125126,125126,370691,370691
125497,125497,410343,410343
125739,125739,410625,410625
125893,125893,410823,410823
125984,125984,410917,410917
126081,126081,411022,411022
126144,126144,126144,320020
126168,126168,411117,411117
126209,126209,411168,411168
126250,126250,411217,411217
126519,126519,126519,330044
126729,126729,126729,330296
126758,126758,420008,420008
127089,127089,127089,340318
127105,127105,430117,430117
127106,127106,127106,340330
127185,127185,127185,350018
127268,127268,127268,350105
127580,127580,127580,360211
127673,127673,440298,440298
127723,127723,440363,440363
127853,127853,440512,440512
127889,127889,440560,440560
128083,128083,128083,370333
128367,128367,128367,370605
128442,128442,128442,370707
128526,128526,128526,128526
128702,128702,128702,410149
128750,128750,128750,410202
128840,128840,441915,441915
128909,128909,441998,441998
128969,128969,128969,410420
128978,128978,128978,410428
129039,129039,450162,450162
129046,129046,450169,450169
129111,129111,129111,410548
129198,129198,450346,450346
129301,129301,500166,500166
129316,129316,500183,500183
129613,129613,510237,510237
129649,129649,510280,510280
129682,129682,510322,510322
129886,129886,129886,411338
129914,129914,510567,510567
129938,129938,129938,411415
130001,130001,130001,130001
130002,130002,130002,130002
130004,130004,130004,130004
130005,130005,130005,130005
130006,130006,130006,130006
130007,130007,130007,130007
130008,130008,130008,130008
130009,130009,130009,130009
130010,130010,130010,130010
130011,130011,130011,130011
130012,130012,130012,130012
130013,130013,130013,130013
130017,130017,130017,130017
130019,130019,130019,130019
130020,130020,130020,130020
130021,130021,130021,130021
130022,130022,130022,130022
130023,130023,130023,130023
130024,130024,130024,130024
130027,130027,130027,130027
130028,130028,130028,130028
130029,130029,130029,130029
130030,130030,130030,130030
130032,130032,130032,130032
130034,130034,130034,130034
130036,130036,130036,130036
130037,130037,130037,130037
130039,130039,130039,130039
130041,130041,130041,130041
130042,130042,130042,130042
130045,130045,130045,130045
130046,130046,130046,130046
130049,130049,130049,130049
130050,130050,130050,130050
130051,130051,130051,130051
130052,130052,130052,130052
130054,130054,130054,130054
130056,130056,130056,130056
130057,130057,130057,130057
130058,130058,130058,130058
130059,130059,130059,130059
130060,130060,130060,130060
130062,130062,130062,130062
130063,130063,130063,130063
130064,130064,130064,130064
130065,130065,130065,130065
130066,130066,130066,130066
130067,130067,130067,130067
130068,130068,130068,130068
130069,130069,130069,130069
130070,130070,130070,130070
130072,130072,130072,130072
130073,130073,130073,130073
130074,130074,130074,130074
130075,130075,130075,130075
130076,130076,130076,130076
130077,130077,130077,130077
130078,130078,130078,130078
130079,130079,130079,130079
130080,130080,130080,130080
130082,130082,130082,130082
130083,130083,130083,130083
130085,130085,130085,130085
130086,130086,130086,130086
130087,130087,130087,130087
130088,130088,130088,130088
130089,130089,130089,130089
130092,130092,130092,130092
130093,130093,130093,130093
130094,130094,130094,130094
130095,130095,130095,130095
130096,130096,130096,130096
130097,130097,130097,130097
130099,130099,130099,130099
130100,130100,130100,130100
130101,130101,130101,130101
130102,130102,130102,130102
130103,130103,130103,130103
130104,130104,130104,130104
130105,130105,130105,130105
130106,130106,130106,130106
130107,130107,130107,130107
130109,130109,130109,130109
130114,130114,130114,130114
130115,130115,130115,130115
130121,130121,130121,130121
130131,130131,130131,130131
130132,130132,130132,130132
130133,130133,130133,130133
130134,130134,130134,130134
130135,130135,130135,130135
130137,130137,130137,130137
130140,130140,130140,130140
130141,130141,130141,130141
130147,130147,130147,130147
130148,130148,130148,130148
130149,130149,130149,130149
130150,130150,130150,130150
130151,130151,130151,130151
130152,130152,130152,130152
130153,130153,130153,130153
130154,130154,130154,130154
130155,130155,130155,130155
130157,130157,130157,130157
130158,130158,130158,130158
130159,130159,130159,130159
130161,130161,130161,130161
130162,130162,130162,130162
130164,130164,130164,130164
130165,130165,130165,130165
130166,130166,130166,130166
130167,130167,130167,130167
130168,130168,130168,130168
130169,130169,130169,130169
130172,130172,130172,130172
130173,130173,130173,130173
130174,130174,130174,130174
130175,130175,130175,130175
130179,130179,130179,130179
130188,130188,130188,130188
130189,130189,130189,130189
130190,130190,130190,130190
130193,130193,130193,130193
130195,130195,130195,130195
130197,130197,130197,130197
130199,130199,130199,130199
130201,130201,130201,130201
130204,130204,130204,130204
130205,130205,130205,130205
130206,130206,130206,130206
130207,130207,130207,130207
130208,130208,130208,130208
130209,130209,130209,130209
130210,130210,130210,130210
130211,130211,130211,130211
130213,130213,130213,130213
130215,130215,130215,130215
130216,130216,130216,130216
130217,130217,130217,130217
130218,130218,130218,130218
130219,130219,130219,130219
130220,130220,130220,130220
130221,130221,130221,130221
130222,130222,130222,130222
130223,130223,130223,130223
130224,130224,130224,130224
130225,130225,130225,130225
130226,130226,130226,130226
130227,130227,130227,130227
130228,130228,130228,130228
130231,130231,130231,130231
130234,130234,130234,130234
130235,130235,130235,130235
130255,130255,130255,130255
130261,130261,130261,130261
130265,130265,130265,130265
130266,130266,130266,130266
130268,130268,130268,130268
130272,130272,130272,130272
130275,130275,130275,130275
130277,130277,130277,130277
130278,130278,130278,130278
130279,130279,130279,130279
130280,130280,130280,130280
130281,130281,130281,130281
130282,130282,130282,130282
130283,130283,130283,130283
130285,130285,130285,130285
130286,130286,130286,130286
130288,130288,130288,130288
130289,130289,130289,130289
130291,130291,130291,130291
130292,130292,130292,130292
130293,130293,130293,130293
130294,130294,130294,130294
130295,130295,130295,130295
130297,130297,130297,130297
130298,130298,130298,130298
130299,130299,130299,130299
130301,130301,130301,130301
130302,130302,130302,130302
130305,130305,130305,130305
130306,130306,130306,130306
130307,130307,130307,130307
130310,130310,130310,130310
130311,130311,130311,130311
130312,130312,130312,130312
130314,130314,130314,130314
130315,130315,130315,130315
130316,130316,130316,130316
130317,130317,130317,130317
130318,130318,130318,130318
130319,130319,130319,130319
130320,130320,130320,130320
130321,130321,130321,130321
130322,130322,130322,130322
130323,130323,130323,130323
130324,130324,130324,130324
130325,130325,130325,130325
130330,130330,130330,130330
130332,130332,130332,130332
130333,130333,130333,130333
130336,130336,130336,130336
130338,130338,130338,130338
130339,130339,130339,130339
130340,130340,130340,130340
130342,130342,130342,130342
130345,130345,130345,130345
130348,130348,130348,130348
130354,130354,130354,130354
130357,130357,510916,510916
130366,130366,130366,130366
130368,130368,130368,130368
130370,130370,130370,130370
130375,130375,130375,130375
130379,130379,130379,130379
130380,130380,130380,130380
130381,130381,130381,130381
130382,130382,130382,130382
130384,130384,130384,130384
130385,130385,130385,130385
130389,130389,130389,130389
130391,130391,130391,130391
130392,130392,130392,130392
130393,130393,130393,130393
130396,130396,130396,130396
130397,130397,130397,130397
130398,130398,130398,130398
130399,130399,130399,130399
130406,130406,130406,130406
130410,130410,130410,130410
130411,130411,130411,130411
130413,130413,130413,130413
130415,130415,130415,130415
130416,130416,130416,130416
130417,130417,130417,130417
130418,130418,130418,130418
130420,130420,130420,130420
130423,130423,130423,130423
130424,130424,130424,130424
130425,130425,130425,130425
130426,130426,130426,130426
130428,130428,130428,130428
130430,130430,130430,130430
130431,130431,130431,130431
130432,130432,130432,130432
130433,130433,130433,130433
130434,130434,130434,130434
130435,130435,130435,130435
130437,130437,130437,130437
130438,130438,130438,130438
130439,130439,130439,130439
130443,130443,130443,130443
130445,130445,130445,130445
130449,130449,130449,130449
130451,130451,130451,130451
130452,130452,130452,130452
130453,130453,130453,130453
130457,130457,130457,130457
130458,130458,130458,130458
130459,130459,130459,130459
130462,130462,130462,130462
130463,130463,130463,130463
130464,130464,130464,130464
130465,130465,130465,130465
130466,130466,130466,130466
130467,130467,130467,130467
130470,130470,130470,130470
130471,130471,130471,130471
130472,130472,130472,130472
130473,130473,130473,130473
130474,130474,130474,130474
130475,130475,130475,130475
130476,130476,130476,130476
130477,130477,130477,130477
130478,130478,130478,130478
130479,130479,130479,130479
130480,130480,130480,130480
130482,130482,130482,130482
130483,130483,130483,130483
130485,130485,130485,130485
130486,130486,130486,130486
130487,130487,130487,130487
130488,130488,130488,130488
130489,130489,130489,130489
130490,130490,130490,130490
130491,130491,130491,130491
130492,130492,130492,130492
130493,130493,130493,130493
130494,130494,130494,130494
130495,130495,130495,130495
130496,130496,130496,130496
130497,130497,130497,130497
130498,130498,130498,130498
130499,130499,130499,130499
130501,130501,130501,130501
130502,130502,130502,130502
130503,130503,130503,130503
130504,130504,130504,130504
130505,130505,130505,130505
130506,130506,130506,130506
130507,130507,130507,130507
130510,130510,130510,130510
130512,130512,130512,130512
130513,130513,130513,130513
130516,130516,130516,130516
130518,130518,130518,130518
130519,130519,130519,130519
130522,130522,130522,130522
130523,130523,130523,130523
130524,130524,130524,130524
130525,130525,130525,130525
130526,130526,130526,130526
130527,130527,130527,130527
130528,130528,130528,130528
130529,130529,130529,130529
130530,130530,130530,130530
130531,130531,130531,130531
130532,130532,130532,130532
130533,130533,130533,130533
130534,130534,130534,130534
130535,130535,130535,130535
130537,130537,130537,130537
130538,130538,130538,130538
130540,130540,130540,130540
130541,130541,130541,130541
130543,130543,130543,130543
130544,130544,130544,130544
130545,130545,130545,130545
130546,130546,130546,130546
130547,130547,130547,130547
130549,130549,130549,130549
130550,130550,130550,130550
130551,130551,130551,130551
130553,130553,130553,130553
130555,130555,130555,130555
130556,130556,130556,130556
130558,130558,130558,130558
130559,130559,130559,130559
130560,130560,130560,130560
130561,130561,130561,130561
130562,130562,130562,130562
130563,130563,130563,130563
130565,130565,130565,130565
130566,130566,130566,130566
130568,130568,130568,130568
130571,130571,130571,130571
130572,130572,130572,130572
130574,130574,130574,130574
130575,130575,130575,130575
130576,130576,130576,130576
130577,130577,130577,130577
130578,130578,130578,130578
130579,130579,130579,130579
130580,130580,130580,130580
130582,130582,130582,130582
130583,130583,130583,130583
130586,130586,130586,130586
130587,130587,130587,130587
130588,130588,130588,130588
130590,130590,130590,130590
130591,130591,130591,130591
130593,130593,130593,130593
130595,130595,130595,130595
130596,130596,130596,130596
130597,130597,130597,130597
130598,130598,130598,130598
130599,130599,130599,130599
130600,130600,130600,130600
130601,130601,130601,130601
130602,130602,130602,130602
130603,130603,130603,130603
130605,130605,130605,130605
130606,130606,130606,130606
130607,130607,130607,130607
130608,130608,130608,130608
130609,130609,130609,130609
130610,130610,130610,130610
130611,130611,130611,130611
130612,130612,130612,130612
130613,130613,130613,130613
130614,130614,130614,130614
130616,130616,130616,130616
130617,130617,130617,130617
130618,130618,130618,130618
130619,130619,130619,130619
130620,130620,130620,130620
130621,130621,130621,130621
130622,130622,130622,130622
130624,130624,130624,130624
130629,130629,130629,130629
130630,130630,130630,130630
130632,130632,130632,130632
130633,130633,130633,130633
130634,130634,130634,130634
130635,130635,130635,130635
130636,130636,130636,130636
130638,130638,130638,130638
130639,130639,130639,130639
130640,130640,130640,130640
130642,130642,130642,130642
130643,130643,130643,130643
130644,130644,130644,130644
130645,130645,130645,130645
130646,130646,130646,130646
130649,130649,130649,130649
130650,130650,130650,130650
130651,130651,130651,130651
130652,130652,130652,130652
130653,130653,130653,130653
130654,130654,130654,130654
130655,130655,130655,130655
130656,130656,130656,130656
130658,130658,130658,130658
130659,130659,130659,130659
130660,130660,130660,130660
130661,130661,130661,130661
130662,130662,130662,130662
130664,130664,130664,130664
130666,130666,130666,130666
130670,130670,130670,130670
130671,130671,130671,130671
130673,130673,130673,130673
130674,130674,130674,130674
130676,130676,130676,130676
130677,130677,130677,130677
130678,130678,130678,130678
130679,130679,130679,130679
130681,130681,130681,130681
130682,130682,130682,130682
130683,130683,130683,130683
130686,130686,130686,130686
130687,130687,130687,130687
130688,130688,130688,130688
130689,130689,130689,130689
130693,130693,130693,130693
130694,130694,130694,130694
130695,130695,130695,130695
130697,130697,130697,130697
130698,130698,130698,130698
130699,130699,130699,130699
130700,130700,130700,130700
130701,130701,130701,130701
130704,130704,130704,130704
130705,130705,130705,130705
130707,130707,130707,130707
130708,130708,130708,130708
130709,130709,130709,130709
130710,130710,130710,130710
130711,130711,130711,130711
130712,130712,130712,130712
130713,130713,130713,130713
130714,130714,130714,130714
130715,130715,130715,130715
130716,130716,130716,130716
130717,130717,130717,130717
130719,130719,130719,130719
130720,130720,130720,130720
130721,130721,130721,130721
130722,130722,130722,130722
130723,130723,130723,130723
130724,130724,130724,130724
130726,130726,130726,130726
130727,130727,130727,130727
130733,130733,130733,130733
130735,130735,130735,130735
130736,130736,130736,130736
130737,130737,130737,130737
130745,130745,130745,130745
130746,130746,130746,130746
130749,130749,130749,130749
130750,130750,130750,130750
130752,130752,130752,130752
130753,130753,130753,130753
130755,130755,130755,130755
130756,130756,130756,130756
130758,130758,130758,130758
130760,130760,130760,130760
130762,130762,130762,130762
130766,130766,130766,130766
130777,130777,130777,130777
130781,130781,130781,130781
130782,130782,130782,130782
130783,130783,130783,130783
130788,130788,130788,130788
130789,130789,130789,130789
130790,130790,130790,130790
130793,130793,130793,130793
130794,130794,130794,130794
130795,130795,130795,130795
130797,130797,130797,130797
130798,130798,130798,130798
130799,130799,130799,130799
130801,130801,130801,130801
130802,130802,130802,130802
130804,130804,130804,130804
130805,130805,130805,130805
130807,130807,130807,130807
130808,130808,130808,130808
130809,130809,130809,130809
130810,130810,130810,130810
130811,130811,130811,130811
130812,130812,130812,130812
130813,130813,130813,130813
130814,130814,130814,130814
130815,130815,130815,130815
130816,130816,130816,130816
130818,130818,130818,130818
130819,130819,130819,130819
130820,130820,130820,130820
130822,130822,130822,130822
130823,130823,130823,130823
130824,130824,130824,130824
130825,130825,130825,130825
130827,130827,130827,130827
130830,130830,130830,130830
130831,130831,130831,130831
130832,130832,130832,130832
130833,130833,130833,130833
130835,130835,130835,130835
130836,130836,130836,130836
130837,130837,130837,130837
130838,130838,130838,130838
130839,130839,130839,130839
130841,130841,130841,130841
130843,130843,130843,130843
130844,130844,130844,130844
130846,130846,130846,130846
130847,130847,130847,130847
130848,130848,130848,130848
130849,130849,130849,130849
130850,130850,130850,130850
130851,130851,130851,130851
130853,130853,130853,130853
130855,130855,130855,130855
130856,130856,130856,130856
130858,130858,130858,130858
130859,130859,130859,130859
130861,130861,130861,130861
130862,130862,130862,130862
130863,130863,130863,130863
130864,130864,130864,130864
130865,130865,130865,130865
130866,130866,130866,130866
130868,130868,130868,130868
130872,130872,130872,130872
130873,130873,130873,130873
130874,130874,130874,130874
130875,130875,130875,130875
130876,130876,130876,130876
130877,130877,130877,130877
130878,130878,130878,130878
130879,130879,130879,130879
130880,130880,130880,130880
130881,130881,130881,130881
130882,130882,130882,130882
130883,130883,130883,130883
130884,130884,130884,130884
130885,130885,130885,130885
130886,130886,130886,130886
130887,130887,130887,130887
130888,130888,130888,130888
130889,130889,130889,130889
130890,130890,130890,130890
130891,130891,130891,130891
130892,130892,130892,130892
130893,130893,130893,130893
130894,130894,130894,130894
130895,130895,130895,130895
130896,130896,130896,130896
130897,130897,130897,130897
130898,130898,130898,130898
130899,130899,130899,130899
130900,130900,130900,130900
130901,130901,130901,130901
130902,130902,130902,130902
130903,130903,130903,130903
130904,130904,130904,130904
130905,130905,130905,130905
130906,130906,130906,130906
130907,130907,130907,130907
130908,130908,130908,130908
130909,130909,130909,130909
130911,130911,130911,130911
130912,130912,130912,130912
130913,130913,130913,130913
130914,130914,130914,130914
130916,130916,130916,130916
130917,130917,130917,130917
130918,130918,130918,130918
130919,130919,130919,130919
130920,130920,130920,130920
130923,130923,130923,130923
130924,130924,130924,130924
130925,130925,130925,130925
130926,130926,130926,130926
130928,130928,130928,130928
130930,130930,130930,130930
130932,130932,130932,130932
130933,130933,130933,130933
130935,130935,130935,130935
130936,130936,130936,130936
130937,130937,130937,130937
130938,130938,130938,130938
130939,130939,130939,130939
130940,130940,130940,130940
131012,131012,520099,520099
131160,131160,131160,131160
131269,131269,520440,520440
131665,131665,530310,530310
131729,131729,131729,131729
131890,131890,610047,610047
131921,131921,131921,430535
132051,132051,610251,610251
132091,132091,610302,610302
132169,132169,620028,620028
132189,132189,620049,620049
132341,132341,132341,440361
132385,132385,620265,620265
132682,132682,620640,620640
132718,132718,620698,620698
132738,132738,620719,620719
132962,132962,620982,620982
133123,133123,621165,621165
133447,133447,133447,441631
133490,133490,621620,621620
133520,133520,621656,621656
133534,133534,133534,441721
133599,133599,621769,621769
133676,133676,621864,621864
133678,133678,133678,441888
133746,133746,133746,441954
133926,133926,990260,990260
133957,133957,133957,450182
134016,134016,134016,450234
134019,134019,134019,450235
134206,134206,120031,120031
134274,134274,134274,500187
134646,134646,130432,130432
134674,134674,130473,130473
134723,134723,134723,134723
134811,134811,130630,130630
134897,134897,134897,134897
134903,134903,130746,130746
134937,134937,134937,510515
134986,134986,130851,130851
135032,135032,130900,130900
135165,135165,135165,510879
135336,135336,140241,140241
135379,135379,135379,520045
135406,135406,140334,140334
135554,135554,140573,140573
135604,135604,140633,140633
135707,135707,140774,140774
135717,135717,135717,520408
135767,135767,140879,140879
135821,135821,135821,520507
135830,135830,135830,520516
135921,135921,135921,530014
136103,136103,136103,136103
136182,136182,136182,530276
136669,136669,210638,210638
136805,136805,210822,210822
136888,136888,210916,210916
136896,136896,136896,136896
137069,137069,137069,620244
137575,137575,211812,211812
137647,137647,137647,620845
137684,137684,211953,211953
137750,137750,137750,620947
137801,137801,220072,220072
138065,138065,138065,621249
138101,138101,138101,621282
138368,138368,138368,621575
138434,138434,230394,230394
138539,138539,230519,230519
138862,138862,138862,138862
139014,139014,295298,620986
139778,139778,139778,130074
140001,140001,140001,140001
140002,140002,140002,140002
140003,140003,140003,140003
140004,140004,140004,140004
140005,140005,140005,140005
140006,140006,140006,140006
140007,140007,140007,140007
140008,140008,140008,140008
140009,140009,140009,140009
140010,140010,140010,140010
140011,140011,140011,140011
140013,140013,140013,140013
140014,140014,140014,140014
140015,140015,140015,140015
140016,140016,140016,140016
140017,140017,140017,140017
140018,140018,140018,140018
140019,140019,140019,140019
140020,140020,140020,140020
140021,140021,140021,140021
140023,140023,140023,140023
140024,140024,140024,140024
140025,140025,140025,140025
140026,140026,140026,140026
140027,140027,140027,140027
140030,140030,140030,140030
140031,140031,140031,140031
140032,140032,140032,140032
140036,140036,140036,140036
140039,140039,140039,140039
140041,140041,140041,140041
140042,140042,140042,140042
140045,140045,140045,140045
140046,140046,140046,140046
140047,140047,140047,140047
140049,140049,140049,140049
140050,140050,140050,140050
140052,140052,140052,140052
140053,140053,140053,140053
140056,140056,140056,140056
140057,140057,140057,140057
140058,140058,140058,140058
140061,140061,140061,140061
140062,140062,140062,140062
140063,140063,140063,140063
140065,140065,140065,140065
140066,140066,140066,140066
140067,140067,140067,140067
140068,140068,140068,140068
140069,140069,140069,140069
140071,140071,140071,140071
140072,140072,140072,140072
140075,140075,140075,140075
140076,140076,140076,140076
140077,140077,140077,140077
140078,140078,140078,140078
140079,140079,140079,140079
140080,140080,140080,140080
140081,140081,140081,140081
140082,140082,140082,140082
140083,140083,140083,140083
140084,140084,140084,140084
140085,140085,140085,140085
140086,140086,140086,140086
140088,140088,140088,140088
140090,140090,140090,140090
140091,140091,140091,140091
140092,140092,140092,140092
140093,140093,140093,140093
140094,140094,140094,140094
140095,140095,140095,140095
140096,140096,140096,140096
140097,140097,140097,140097
140098,140098,140098,140098
140099,140099,140099,140099
140100,140100,140100,140100
140101,140101,140101,140101
140102,140102,140102,140102
140103,140103,140103,140103
140104,140104,140104,140104
140105,140105,140105,140105
140106,140106,140106,140106
140107,140107,140107,140107
140108,140108,140108,140108
140109,140109,140109,140109
140110,140110,140110,140110
140111,140111,140111,140111
140112,140112,140112,140112
140113,140113,140113,140113
140114,140114,140114,140114
140115,140115,140115,140115
140116,140116,140116,140116
140117,140117,140117,140117
140118,140118,140118,140118
140119,140119,140119,140119
140122,140122,140122,140122
140123,140123,140123,140123
140125,140125,140125,140125
140126,140126,140126,140126
140127,140127,140127,140127
140128,140128,140128,140128
140132,140132,140132,140132
140133,140133,140133,140133
